Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,63.58466670128977,136.78055119317426,5.25703661237186,-0.33762643596537584,0.007800000000000029,0.006399999999999961,0.0092,732.4444444444445,0.00014539004568768163,0.00014539004568768163,0.00014539004568768163,0_1:1,0_1:291.55555555555554
1,127.02391667153505,98.38766517042241,5.035784577617701,-0.3441954688060495,0.007000000000000006,0.007800000000000029,0.0062,732.4444444444445,0.00015898028458742922,0.00015898028458742922,0.00015898028458742922,1_2:0.0064281395242308526; 1_4:0.010092714957549154; 1_0:1,1_2:327.1111111111111; 1_4:426.66666666666663; 1_0:316.4444444444444
2,90.48063582458204,62.448568673930275,4.911054520771995,-0.34342792430997143,0.015600000000000058,0.018199999999999994,0.013,732.4444444444445,0.00020186268838182924,0.00020186268838182924,0.00020186268838182924,2_3:0.007770678776114481; 2_1:0.0064281395242308526,2_3:231.1111111111111; 2_1:352
3,149.75226478218022,133.50877573840856,5.1185481630953635,-0.3404538134266596,0.01859999999999995,0.021399999999999975,0.0158,732.4444444444445,0.00019617513005475883,0.00019617513005475883,0.00019617513005475883,3_2:0.007770678776114481; 3_5:0.005671423061855446,3_2:206.2222222222222; 3_5:277.3333333333333
4,77.18749478329819,20.226182358551558,5.18565390751763,-0.3393123034812059,0.021600000000000064,0.0242,0.019,732.4444444444445,0.0003016476610852861,0.0003016476610852861,0.0003016476610852861,4_7:0.007571173611087723; 4_1:0.010092714957549154,4_7:270.22222222222223; 4_1:451.55555555555554
5,112.54035405357078,49.076366646804296,5.0461005627386415,-0.3411995803479603,0.012399999999999967,0.014399999999999968,0.0104,732.4444444444445,0.00024216176657762363,0.00024216176657762363,0.00024216176657762363,5_8:0.0072504194374009845; 5_3:0.005671423061855446,5_8:167.11111111111111; 5_3:327.1111111111111
6,111.47021150198661,110.26031381877915,5.098877129264674,-0.34064309528264114,0.0129999999999999,0.016599999999999948,0.0094,732.4444444444445,0.0009155609081705005,0.0009155609081705005,0.0009155609081705005,6_7:0.011959805069994667,6_7:312.88888888888886
7,153.09045564552792,175.5071281355053,5.0480216059843075,-0.3413500696280631,0.00869999999999993,0.01100000000000001,0.0064,732.4444444444445,0.00045971593125295455,0.00045971593125295455,0.00045971593125295455,7_6:0.011959805069994667; 7_4:0.007571173611087723; 7_10:1,7_6:337.77777777777777; 7_4:295.1111111111111; 7_10:480
8,91.71852487915656,48.84126768243008,4.9690157665059305,-0.3430195005452859,0.016699999999999937,0.023399999999999976,0.01,732.4444444444445,0.0001891831450055704,0.0001891831450055704,0.0001891831450055704,8_11:0.016036187686908898; 8_9:0.00966766322457599; 8_5:0.0072504194374009845,8_11:945.7777777777777; 8_9:359.1111111111111; 8_5:216.88888888888889
9,84.55329846687626,25.69750753802612,5.227497662478662,-0.3397074037499023,0.048799999999999955,0.035800000000000054,0.0618,732.4444444444445,0.00020563093865004205,0.00020563093865004205,0.00020563093865004205,9_8:0.00966766322457599,9_8:334.22222222222223
10,115.74940716760229,14.997592815227009,5.23352239380689,-0.3385744262155216,0.009199999999999986,0.011199999999999988,0.0072,732.4444444444445,0.0001961400042193028,0.0001961400042193028,0.0001961400042193028,10_12:0.006658155924620185; 10_7:1,10_12:192; 10_7:455.1111111111111
11,96.02425736370553,138.4151433272461,5.132662529180503,-0.3403576641644769,0.009000000000000008,0.01200000000000001,0.006,732.4444444444445,0.0001886703739895976,0.0001886703739895976,0.0001886703739895976,11_8:0.016036187686908898; 11_14:0.011413372892474877,11_8:970.6666666666666; 11_14:405.3333333333333
12,148.38861528687795,137.80751496526804,5.114929204934439,-0.34126302876215137,0.008399999999999963,0.0098,0.007000000000000006,732.4444444444445,0.00013380644366562929,0.00013380644366562929,0.00013380644366562929,12_15:0.008276473830523573; 12_13:0.013478379627743897; 12_10:0.006658155924620185,12_15:522.6666666666666; 12_13:433.77777777777777; 12_10:241.77777777777777
13,90.40806912737771,128.2991887933107,5.282044395439102,-0.3387498999580657,0.007200000000000095,0.006800000000000028,0.0076,732.4444444444445,0.0003256967820268574,0.0003256967820268574,0.0003256967820268574,13_12:0.013478379627743897; 13_14:0.005270438267902439,13_12:458.66666666666663; 13_14:220.44444444444443
14,95.23979187174248,156.3464704739958,5.043699638201032,-0.3419399091664664,0.007900000000000018,0.011,0.0048000000000000265,732.4444444444445,0.00014545159963103672,0.00014545159963103672,0.00014545159963103672,14_11:0.011413372892474877; 14_16:0.005524113761248867; 14_13:0.005270438267902439,14_11:430.2222222222222; 14_16:252.44444444444443; 14_13:270.22222222222223
15,152.87065728017862,111.71009560175226,4.962608125871712,-0.34481561404095,0.010599999999999943,0.016000000000000014,0.0052,732.4444444444445,0.00017557073769870158,0.00017557073769870158,0.00017557073769870158,15_12:0.008276473830523573; 15_18:0.005824831676608688,15_12:497.77777777777777; 15_18:256
16,124.82300210580256,44.16641483552808,5.276898134714799,-0.33815350713193437,0.041000000000000036,0.022800000000000042,0.0592,732.4444444444445,0.000560893708138872,0.000560893708138872,0.000560893708138872,16_19:0.017087224147255248; 16_14:0.005524113761248867,16_19:224; 16_14:202.66666666666666
17,134.32860174054213,129.16624368287208,5.262103496848592,-0.3372855953125687,0.014799999999999924,0.0182,0.011399999999999966,732.4444444444445,0.000513684698535048,0.000513684698535048,0.000513684698535048,17_18:0.011852848798924565,17_18:256
