Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CZ error ,Gate time (ns)
10,82.4777716448719,135.70824040973918,5.026619831797038,0,0.01550000000000007,0.019000000000000017,0.012,977.7777777777777,0.0002417771430340843,0.0002417771430340843,0.0002417771430340843,10_12:0.0026757575849453152; 10_7:0.00663508161343368,10_12:99.55555555555554; 10_7:152.88888888888889
11,150.09775274505927,159.94070500527442,4.978510492315715,0,0.008399999999999963,0.0082,0.008600000000000052,977.7777777777777,0.00011808324877840021,0.00011808324877840021,0.00011808324877840021,11_8:0.001584367866298314; 11_14:0.004245860780425242,11_8:67.55555555555556; 11_14:67.55555555555556
12,99.04025378713082,138.81296795725476,4.630903679399233,0,0.008399999999999963,0.012199999999999989,0.0046,977.7777777777777,0.0001780269207268582,0.0001780269207268582,0.0001780269207268582,12_13:0.003693003717962634; 12_10:0.0026757575849453152; 12_15:0.0014861726677867504,12_13:78.22222222222221; 12_10:99.55555555555554; 12_15:67.55555555555556
13,35.328608447022155,70.68216739992329,5.030425588291646,0,0.019199999999999995,0.0244,0.014000000000000012,977.7777777777777,0.00035424539711200826,0.00035424539711200826,0.00035424539711200826,13_12:0.003693003717962634; 13_14:0.005971301024193076,13_12:78.22222222222221; 13_14:99.55555555555554
14,186.24389258302435,164.0874516531606,4.572535738662486,0,0.009200000000000097,0.009800000000000031,0.0086,977.7777777777777,0.0001605319395666511,0.0001605319395666511,0.0001605319395666511,14_16:0.0025454727440165914; 14_13:0.005971301024193076; 14_11:0.004245860780425242,14_16:78.22222222222221; 14_13:99.55555555555554; 14_11:67.55555555555556
15,204.41060209979543,114.17425905843862,4.969546263503892,0,0.011700000000000044,0.01200000000000001,0.0114,977.7777777777777,0.00012498640345226078,0.00012498640345226078,0.00012498640345226078,15_12:0.0014861726677867504; 15_18:0.00458956761769061,15_12:67.55555555555556; 15_18:67.55555555555556
16,232.42225023002754,272.6188139623608,4.975731544690986,0,0.025599999999999956,0.0156,0.035599999999999965,977.7777777777777,0.0001022705564400449,0.0001022705564400449,0.0001022705564400449,16_19:0.004918763277189597; 16_14:0.0025454727440165914,16_19:152.88888888888889; 16_14:78.22222222222221
17,197.1200380069989,192.96695447064025,4.999787958166728,0,0.016000000000000014,0.017800000000000038,0.0142,977.7777777777777,0.0001640120925130206,0.0001640120925130206,0.0001640120925130206,17_18:0.004868062875319434,17_18:67.55555555555556
18,122.5449067967143,149.92184449938904,4.636373971484259,0,0.49160000000000004,0.11280000000000001,0.8704,977.7777777777777,0.0006987335397304754,0.0006987335397304754,0.0006987335397304754,18_21:0.008616248954974842; 18_17:0.004868062875319434; 18_15:0.00458956761769061,18_21:99.55555555555554; 18_17:67.55555555555556; 18_15:67.55555555555556
19,191.58155705191956,129.64049818756894,4.792578293415194,-0.23545152736729993,0.006666666666666599,0.01,0.0033333333333332993,977.7777777777777,0.00044489089013730347,0.00044489089013730347,0.00044489089013730347,19_16:0.004918763277189597; 19_22:0.0032102104776556006; 19_20:0.017106148497130158,19_16:152.88888888888889; 19_22:88.88888888888889; 19_20:78.22222222222221
20,337.85252065488953,66.54353635047204,4.934475632556746,-0.23818754229936454,0.008333333333333304,0.013333333333333334,0.0033333333333332993,977.7777777777777,0.00015192507122813764,0.00015192507122813764,0.00015192507122813764,20_19:0.017106148497130158,20_19:78.22222222222221
21,87.58065795822748,6.960004245855301,5.042292887720034,0,0.08640000000000003,0.14500000000000002,0.0278,977.7777777777777,0.001909721305969369,0.001909721305969369,0.001909721305969369,21_18:0.008616248954974842; 21_23:0.14927263709494243,21_18:99.55555555555554; 21_23:78.22222222222221
22,235.82501503650457,180.62890977099013,5.090373857775096,0,0.01090000000000002,0.0142,0.007600000000000051,977.7777777777777,0.0001489455631681638,0.0001489455631681638,0.0001489455631681638,22_25:0.003062046255721651; 22_19:0.0032102104776556006,22_25:67.55555555555556; 22_19:88.88888888888889
23,72.15069775771273,0.993980782687985,4.772790571287031,0,0.44320000000000004,0.629,0.25739999999999996,977.7777777777777,0.0028137515775878584,0.0028137515775878584,0.0028137515775878584,23_24:0.030664697191251145; 23_21:0.14927263709494243; 23_27:1,23_24:67.55555555555556; 23_21:78.22222222222221; 23_27:67.55555555555556
24,77.41942131631298,10.376803924765953,5.027039829731883,0,0.03410000000000002,0.04259999999999997,0.0256,977.7777777777777,0.0002941514648679556,0.0002941514648679556,0.0002941514648679556,24_25:0.0023982358860079322; 24_23:0.030664697191251145,24_25:67.55555555555556; 24_23:67.55555555555556
25,127.11730248725837,123.69156448676861,4.61848207912135,0,0.017300000000000093,0.027,0.007600000000000051,977.7777777777777,0.00021814028035152893,0.00021814028035152893,0.00021814028035152893,25_24:0.0023982358860079322; 25_22:0.003062046255721651; 25_26:0.0025112388573063915,25_24:67.55555555555556; 25_22:67.55555555555556; 25_26:67.55555555555556
26,73.5699259545314,9.992494738047252,5.02697289287536,0,0.016000000000000014,0.022800000000000042,0.0092,977.7777777777777,0.00026036451056615805,0.00026036451056615805,0.00026036451056615805,26_25:0.0025112388573063915,26_25:67.55555555555556
27,229.77087875799234,23.025091957625623,5.014077024680299,0,0.3406,0.4022,0.279,977.7777777777777,0.0007284340120652557,0.0007284340120652557,0.0007284340120652557,27_28:1; 27_23:1,27_28:67.55555555555556; 27_23:67.55555555555556
28,11.715530521761192,7.12032976864919,4.5978067833377425,0,0.01869999999999994,0.0322,0.005199999999999982,977.7777777777777,0.00129193417256049,0.00129193417256049,0.00129193417256049,28_29:0.010873177773780829; 28_27:1,28_29:67.55555555555556; 28_27:67.55555555555556
29,167.44319734281348,227.33210939837886,4.991455788206111,0,0.038999999999999924,0.0384,0.03959999999999997,977.7777777777777,0.00028410610011107146,0.00028410610011107146,0.00028410610011107146,29_28:0.010873177773780829,29_28:67.55555555555556
30,228.94543467363442,189.36400779138134,4.976081860983031,0,0.008599999999999941,0.010000000000000009,0.0072,977.7777777777777,0.0001522478470777887,0.0001522478470777887,0.0001522478470777887,30_3:0.010246256161424022; 30_31:0.0021574903920364152,30_3:78.22222222222221; 30_31:67.55555555555556
31,121.3816350036871,156.4446481563813,4.5921127775380866,0,0.00990000000000002,0.0098,0.010000000000000009,977.7777777777777,0.0001360584689038945,0.0001360584689038945,0.0001360584689038945,31_30:0.0021574903920364152; 31_32:0.002541788065233558,31_30:67.55555555555556; 31_32:152.88888888888889
32,141.05540364788158,182.1276615960775,4.91718311993271,0,0.03269999999999995,0.0288,0.036599999999999966,977.7777777777777,0.00019440786011749934,0.00019440786011749934,0.00019440786011749934,32_31:0.002541788065233558,32_31:152.88888888888889
