Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CZ error ,Gate time (ns)
0,173.2562489447571,99.24254791195352,5.007416797743445,0,0.009099999999999997,0.010000000000000009,0.0082,977.7777777777777,0.00012186635175779902,0.00012186635175779902,0.00012186635175779902,0_1:0.002950168697781058,0_1:67.55555555555556
1,165.7792068776945,36.42599583007609,4.569218647519892,0,0.026000000000000023,0.03500000000000003,0.017,977.7777777777777,0.0004470902372518245,0.0004470902372518245,0.0004470902372518245,1_4:0.003361563455929917; 1_2:0.0040146545776747755; 1_0:0.002950168697781058,1_4:78.22222222222221; 1_2:67.55555555555556; 1_0:67.55555555555556
2,23.47122087264048,43.66123992599856,4.963800558898088,0,0.02089999999999992,0.0292,0.012599999999999945,977.7777777777777,0.0005004060486605682,0.0005004060486605682,0.0005004060486605682,2_3:0.011669050574041773; 2_1:0.0040146545776747755,2_3:110.22222222222221; 2_1:67.55555555555556
3,150.0405275189173,3.7524974301801017,4.586725196165092,0,0.04299999999999993,0.07299999999999995,0.013,977.7777777777777,0.0018983053846544954,0.0018983053846544954,0.0018983053846544954,3_2:0.011669050574041773; 3_30:0.010246256161424022; 3_5:0.0030327972032953843,3_2:110.22222222222221; 3_30:78.22222222222221; 3_5:78.22222222222221
4,207.34795751031777,204.41320494440058,5.00094188942372,0,0.009000000000000008,0.009399999999999964,0.0086,977.7777777777777,0.00015277950746791092,0.00015277950746791092,0.00015277950746791092,4_7:0.0015824687787353853; 4_1:0.003361563455929917,4_7:113.77777777777777; 4_1:78.22222222222221
5,148.00548939996386,120.4601762466879,4.990267688395399,0,0.01079999999999992,0.014399999999999968,0.0072,977.7777777777777,0.0001595962984705593,0.0001595962984705593,0.0001595962984705593,5_8:0.002230606026616816; 5_3:0.0030327972032953843,5_8:120.88888888888889; 5_3:78.22222222222221
6,201.0330021881502,130.44351886088748,4.993337069497049,0,0.011700000000000044,0.010399999999999965,0.013,977.7777777777777,0.00014862129362722918,0.00014862129362722918,0.00014862129362722918,6_7:0.0024594773529730274,6_7:120.88888888888889
7,257.27822876634764,178.00765630382753,4.603520597668229,0,0.011199999999999988,0.01319999999999999,0.0092,977.7777777777777,0.00014618509305515612,0.00014618509305515612,0.00014618509305515612,7_4:0.0015824687787353853; 7_10:0.00663508161343368; 7_6:0.0024594773529730274,7_4:113.77777777777777; 7_10:152.88888888888889; 7_6:120.88888888888889
8,137.3713779327582,166.10793913152546,4.642453428664097,0,0.012399999999999967,0.0118,0.013000000000000012,977.7777777777777,0.00014739319066516248,0.00014739319066516248,0.00014739319066516248,8_11:0.001584367866298314; 8_9:0.0014992961223416479; 8_5:0.002230606026616816,8_11:67.55555555555556; 8_9:67.55555555555556; 8_5:120.88888888888889
9,127.11770303129563,172.82525454484627,5.002550648968517,0,0.01090000000000002,0.01100000000000001,0.0108,977.7777777777777,0.00010505588555695681,0.00010505588555695681,0.00010505588555695681,9_8:0.0014992961223416479,9_8:67.55555555555556
