Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,512.4401090038406,164.4520254618066,4.655632626410117,-0.31110795312493766,0.0021999999999999797,0.0036000000000000476,0.0008,1244.4444444444443,0.00011296238248767458,0.00011296238248767458,0.00011296238248767458,0_1:0.0031151695734713825; 0_14:0.0035832600427770644,0_1:611.5555555555555; 0_14:611.5555555555555
1,381.1125494524292,215.98913347884246,4.5350068704699655,0,0.0025999999999999357,0.0033999999999999586,0.0018,1244.4444444444443,0.00014432877017025054,0.00014432877017025054,0.00014432877017025054,1_0:0.0031151695734713825; 1_2:0.004763133862185437,1_0:661.3333333333333; 1_2:661.3333333333333
2,314.09282855138343,85.32063897902793,4.680053559754658,-0.31073264155855623,0.005600000000000049,0.0048000000000000265,0.0064,1244.4444444444443,0.00014823371055821755,0.00014823371055821755,0.00014823371055821755,2_3:0.006341871929245652; 2_1:0.004763133862185437,2_3:611.5555555555555; 2_1:611.5555555555555
3,344.1222273996343,134.08140765434672,4.606758613416763,0,0.010000000000000009,0.012599999999999945,0.0074,1244.4444444444443,0.00019062474524749777,0.00019062474524749777,0.00019062474524749777,3_4:0.010631596496118695; 3_2:0.006341871929245652,3_4:661.3333333333333; 3_2:661.3333333333333
4,422.71483703092474,50.71404001384012,4.462201372098437,-0.3229536689453741,0.007600000000000051,0.009600000000000053,0.0056,1244.4444444444443,0.00043867941553406216,0.00043867941553406216,0.00043867941553406216,4_3:0.010631596496118695; 4_15:0.008516212668872147; 4_5:0.005096165973106276,4_3:611.5555555555555; 4_15:611.5555555555555; 4_5:661.3333333333333
5,368.8891288688865,355.04435139889875,4.426700848796882,0,0.010299999999999976,0.0128,0.007800000000000029,1244.4444444444443,0.0001907289563575503,0.0001907289563575503,0.0001907289563575503,5_6:0.0031983135532349383; 5_4:0.005096165973106276,5_6:661.3333333333333; 5_4:611.5555555555555
6,390.2722243417552,159.7296850108258,4.64009125652182,-0.31059054561434646,0.0020999999999999908,0.0030000000000000027,0.0012,1244.4444444444443,0.00008620707189465003,0.00008620707189465003,0.00008620707189465003,6_5:0.0031983135532349383; 6_7:0.011079238254974172,6_5:611.5555555555555; 6_7:661.3333333333333
7,684.0422653564037,471.1231582473565,4.4757012744832645,0,0.0020999999999999908,0.003,0.0011999999999999789,1244.4444444444443,0.00014171902083599924,0.00014171902083599924,0.00014171902083599924,7_8:0.012497199920624508; 7_6:0.011079238254974172,7_8:661.3333333333333; 7_6:611.5555555555555
8,561.9410839133697,305.5229465446838,4.401707876329277,-0.3147467952755449,0.0026999999999999247,0.0040000000000000036,0.0014,1244.4444444444443,0.00026400524522489556,0.00026400524522489556,0.00026400524522489556,8_7:0.012497199920624508; 8_16:0.0036867681353811577; 8_9:0.025853710814635222,8_7:611.5555555555555; 8_16:661.3333333333333; 8_9:611.5555555555555
9,411.58073738960195,340.1507215278865,4.518996323536307,0,0.007900000000000018,0.009600000000000053,0.0062,1244.4444444444443,0.00010105834145158434,0.00010105834145158434,0.00010105834145158434,9_10:0.004253833328315082; 9_8:0.025853710814635222,9_10:661.3333333333333; 9_8:661.3333333333333
