Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,149.92050040782755,43.28876931077927,5.235362897171141,-0.33986713855915607,0.013499999999999956,0.0136,0.013399999999999967,789.3333333333333,0.00021245889743003348,0.00021245889743003348,0.00021245889743003348,0_1:0.007820210905331387,0_1:576
1,79.7897703625083,71.30685543504202,5.099657718081967,-0.3432484042938357,0.017299999999999982,0.0174,0.017199999999999993,789.3333333333333,0.0001626203006970034,0.0001626203006970034,0.0001626203006970034,1_3:0.004411887997237129; 1_2:0.006836237672180667; 1_0:0.007820210905331387,1_3:334.22222222222223; 1_2:327.1111111111111; 1_0:611.5555555555555
2,106.43006632893477,135.0963628748055,5.188298953404899,-0.3419316690031256,0.009700000000000042,0.011,0.008399999999999963,789.3333333333333,0.00016843071036397322,0.00016843071036397322,0.00016843071036397322,2_1:0.006836237672180667,2_1:291.55555555555554
3,148.87338121230337,91.99368111294564,4.9874635956164735,-0.3452928861203798,0.015100000000000002,0.0168,0.013399999999999967,789.3333333333333,0.00017243209626733824,0.00017243209626733824,0.00017243209626733824,3_1:0.004411887997237129; 3_5:0.010554488032568643,3_1:298.66666666666663; 3_5:334.22222222222223
4,115.72553955704102,29.22526945029114,5.285350313811012,-0.3392342674107948,0.0230999999999999,0.025599999999999956,0.0206,789.3333333333333,0.00042684749425371576,0.00042684749425371576,0.00042684749425371576,4_5:0.013270094918532205,4_5:362.66666666666663
5,122.24840147802081,81.13326949174306,5.176092060235295,-0.34079297245074963,0.016100000000000003,0.0168,0.01539999999999997,789.3333333333333,0.00014225335109420276,0.00014225335109420276,0.00014225335109420276,5_4:0.013270094918532205; 5_6:0.010736364494508044; 5_3:0.010554488032568643,5_4:327.1111111111111; 5_6:256; 5_3:298.66666666666663
6,74.45378165927431,69.52962015091349,5.063894749247978,-0.34275836537159754,0.01319999999999999,0.013399999999999967,0.013,789.3333333333333,0.00020978613405340697,0.00020978613405340697,0.00020978613405340697,6_5:0.010736364494508044,6_5:291.55555555555554
