Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,117.15422233164246,56.23867541721068,4.926714042581515,-0.3443958771022938,0.009000000000000008,0.0112,0.006800000000000028,910.2222222222222,0.000287713053688511,0.000287713053688511,0.000287713053688511,0_1:0.008319917887657652,0_1:341.3333333333333
1,62.64859891449483,32.99703688453264,5.046823194393676,-0.34286204354380795,0.02079999999999993,0.0242,0.01739999999999997,910.2222222222222,0.00022258494728924887,0.00022258494728924887,0.00022258494728924887,1_2:0.005551178285069902; 1_3:0.009806987412351642; 1_0:0.008319917887657652,1_2:248.88888888888889; 1_3:376.88888888888886; 1_0:412.4444444444444
2,137.9397710240647,29.83376840029988,4.9619881257413905,-0.34389013656021855,0.010399999999999965,0.012,0.00880000000000003,910.2222222222222,0.0002899082203028839,0.0002899082203028839,0.0002899082203028839,2_1:0.005551178285069902,2_1:213.33333333333331
3,78.33302458828936,66.52542186305642,5.108839524031702,-0.3411938256028111,0.016799999999999926,0.018,0.015599999999999947,910.2222222222222,0.00048661676902439467,0.00048661676902439467,0.00048661676902439467,3_1:0.009806987412351642; 3_5:0.005156963456952907,3_1:412.4444444444444; 3_5:238.2222222222222
4,187.92146566478564,122.72859530116709,5.011349973508843,-0.3429005145382,0.0917,0.0868,0.09660000000000002,910.2222222222222,0.00020489241822111944,0.00020489241822111944,0.00020489241822111944,4_5:0.00766046613205712,4_5:305.77777777777777
5,59.158495018548656,158.30799751340484,5.173757128402541,-0.34294086851881034,0.013299999999999979,0.016599999999999948,0.01,910.2222222222222,0.00024768076615715997,0.00024768076615715997,0.00024768076615715997,5_4:0.00766046613205712; 5_3:0.005156963456952907; 5_6:0.009597607764522759,5_4:341.3333333333333; 5_3:167.11111111111111; 5_6:405.3333333333333
6,70.91561536411758,118.35152530676385,5.322317472451878,-0.3376264885207946,0.13370000000000004,0.1328,0.13460000000000005,910.2222222222222,0.0002589350380984988,0.0002589350380984988,0.0002589350380984988,6_5:0.009597607764522759,6_5:334.22222222222223
