Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,107.17851265253336,41.13769921103461,5.203528629973499,-0.3415367992613904,0.018000000000000016,0.019000000000000017,0.017,640,0.001195286646983094,0.001195286646983094,0.001195286646983094,0_1:1,0_1:298.66666666666663
1,123.69239162242064,105.8666221237091,4.991126157012494,-0.34534372562782467,0.010099999999999998,0.0124,0.007800000000000029,640,0.00017643176936361704,0.00017643176936361704,0.00017643176936361704,1_4:1; 1_0:1; 1_2:1,1_4:355.55555555555554; 1_0:334.22222222222223; 1_2:405.3333333333333
2,68.99828823760019,25.711042911964125,5.116460128898838,-0.3434492273248218,0.018000000000000016,0.02100000000000002,0.015,640,0.00037457504336706535,0.00037457504336706535,0.00037457504336706535,2_3:1; 2_1:1,2_3:412.4444444444444; 2_1:440.88888888888886
3,96.96806398845682,103.52971314200448,4.8663834839720215,-0.3460553591175695,0.016000000000000014,0.022,0.010000000000000009,640,0.00024987688700078186,0.00024987688700078186,0.00024987688700078186,3_2:1; 3_5:1,3_2:448; 3_5:497.77777777777777
4,105.6022738459832,47.27640646515132,5.224531222260877,-0.3409736295300263,0.022499999999999964,0.028000000000000025,0.017,640,0.00031001915807534955,0.00031001915807534955,0.00031001915807534955,4_1:1; 4_7:1,4_1:320; 4_7:490.66666666666663
5,104.49496538003172,25.981155560686187,5.113444363013897,-0.342092680666019,0.018000000000000016,0.015000000000000013,0.021,640,0.00028265360339493374,0.00028265360339493374,0.00028265360339493374,5_3:1; 5_8:1,5_3:462.2222222222222; 5_8:497.77777777777777
6,63.19973225816262,41.7430714047114,5.202685379405494,-0.34049308672932155,0.007500000000000062,0.007,0.008000000000000007,640,0.0005925364113824263,0.0005925364113824263,0.0005925364113824263,6_7:0.012092662087772543,6_7:476.4444444444444
7,155.39806244995165,19.63335205532445,5.031037592833153,-0.3456535391954946,0.022699999999999942,0.01880000000000004,0.0266,640,0.00022998080624827405,0.00022998080624827405,0.00022998080624827405,7_6:0.012092662087772543; 7_10:1; 7_4:1,7_6:440.88888888888886; 7_10:526.2222222222222; 7_4:455.1111111111111
8,171.9224209494401,44.37136971418827,4.928288904685959,-0.34543424539386197,0.03290000000000004,0.0318,0.03400000000000003,640,0.0004453640287833674,0.0004453640287833674,0.0004453640287833674,8_9:1; 8_11:1; 8_5:1,8_9:533.3333333333333; 8_11:497.77777777777777; 8_5:533.3333333333333
9,110.4246775242401,69.37144094360906,5.053930690844935,-0.3443629825011253,0.057499999999999996,0.068,0.04700000000000004,640,0.0004387887593455258,0.0004387887593455258,0.0004387887593455258,9_8:1,9_8:497.77777777777777
10,92.98625347381977,37.72685098481696,5.178001255028195,-0.34162307444386925,0.014499999999999957,0.02,0.009000000000000008,640,0.0003110666606803677,0.0003110666606803677,0.0003110666606803677,10_7:1; 10_12:1,10_7:561.7777777777777; 10_12:590.2222222222222
