Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,192.00515728269428,81.69871358960926,4.962286067081757,-0.3446254135384113,0.017100000000000004,0.024800000000000044,0.0094,5351.11111111111,0.00017527064269731263,0.00017527064269731263,0.00017527064269731263,0_1:0.005364558573024675,0_1:277.3333333333333
1,186.3077757429514,74.53925493915916,4.837869221123094,-0.34528384673896295,0.021500000000000075,0.027000000000000024,0.016,5351.11111111111,0.00020825727373626125,0.00020825727373626125,0.00020825727373626125,1_2:0.010615611600992753; 1_0:0.005364558573024675,1_2:469.3333333333333; 1_0:312.88888888888886
2,143.48835684453104,23.689093852747597,5.037249051022417,-0.3425512844367907,0.020100000000000007,0.030200000000000005,0.01,5351.11111111111,0.0002855272949777226,0.0002855272949777226,0.0002855272949777226,2_3:0.006011071650244781; 2_1:0.010615611600992753,2_3:355.55555555555554; 2_1:504.88888888888886
3,189.399080738456,77.94705037727616,4.950954774432368,-0.34357839075695296,0.016899999999999915,0.0246,0.009199999999999986,5351.11111111111,0.0001633668507618264,0.0001633668507618264,0.0001633668507618264,3_4:0.005541428799945625; 3_2:0.006011071650244781,3_4:334.22222222222223; 3_2:391.1111111111111
4,96.79738945906435,42.340628430846444,5.065122974288174,-0.3421076389828771,0.020299999999999985,0.033,0.007600000000000051,5351.11111111111,0.00045555857519828224,0.00045555857519828224,0.00045555857519828224,4_3:0.005541428799945625,4_3:298.66666666666663
