Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,183.43242463809847,266.44166863842935,4.9329872389087495,-0.34310963631991875,0.006800000000000028,0.008600000000000052,0.005,757.3333333333333,0.0002158393048232845,0.0002158393048232845,0.0002158393048232845,0_1:0.0069166941151218575,0_1:469.3333333333333
1,157.7118147789232,335.61502140892685,5.073819077689611,-0.3420892296028571,0.010499999999999954,0.012399999999999967,0.0086,757.3333333333333,0.0002117801096072271,0.0002117801096072271,0.0002117801096072271,1_4:0.006050743509392026; 1_2:0.010442154233211709; 1_0:0.0069166941151218575,1_4:497.77777777777777; 1_2:533.3333333333333; 1_0:504.88888888888886
2,124.94152839677463,173.77426099854137,5.00574761953616,-0.3434440068875522,0.009800000000000031,0.009800000000000031,0.0098,757.3333333333333,0.00019095219232318799,0.00019095219232318799,0.00019095219232318799,2_3:0.005164874578627465; 2_1:0.010442154233211709,2_3:355.55555555555554; 2_1:568.8888888888889
3,220.42857638510873,220.70967040307067,4.897262494704276,-0.34550646060281476,0.027800000000000047,0.025,0.03059999999999996,757.3333333333333,0.00020771800789242607,0.00020771800789242607,0.00020771800789242607,3_5:0.005684014868737847; 3_2:0.005164874578627465,3_5:320; 3_2:391.1111111111111
4,198.24933330282408,156.36284975021837,4.920155579948504,-0.345102030787551,0.019199999999999995,0.012199999999999989,0.0262,757.3333333333333,0.00019972257627946642,0.00019972257627946642,0.00019972257627946642,4_7:0.053779511926224016; 4_1:0.006050743509392026,4_7:277.3333333333333; 4_1:462.2222222222222
5,228.36928859195166,89.15949607938111,4.992821351146082,-0.3444618486016946,0.006800000000000028,0.007800000000000029,0.0058,757.3333333333333,0.00015819900456772996,0.00015819900456772996,0.00015819900456772996,5_8:0.007180736885404604; 5_3:0.005684014868737847,5_8:362.66666666666663; 5_3:284.44444444444446
6,120.78621046664243,175.60343547828387,5.006705609835754,-0.34431876211070706,0.011199999999999988,0.0144,0.008000000000000007,757.3333333333333,0.00029323401292959193,0.00029323401292959193,0.00029323401292959193,6_7:0.06807436176805276,6_7:853.3333333333333
7,148.51617989472902,177.71138635626795,4.828433184219799,-0.345633610486889,0.00770000000000004,0.008199999999999985,0.0072,757.3333333333333,0.000162043882053135,0.000162043882053135,0.000162043882053135,7_10:0.14563897074776785; 7_6:0.06807436176805276; 7_4:0.053779511926224016,7_10:462.2222222222222; 7_6:817.7777777777777; 7_4:312.88888888888886
8,141.14302482914158,92.63739325764412,5.203603219465608,-0.34065922032294216,0.01319999999999999,0.015,0.011399999999999966,757.3333333333333,0.00022094892116253728,0.00022094892116253728,0.00022094892116253728,8_11:0.00882600078086862; 8_5:0.007180736885404604; 8_9:0.005832917344378796,8_11:369.77777777777777; 8_5:327.1111111111111; 8_9:440.88888888888886
9,218.4673954401602,190.10600846076323,5.088375525764394,-0.3425158142402681,0.007800000000000029,0.0102,0.00539999999999996,757.3333333333333,0.00034664692743955185,0.00034664692743955185,0.00034664692743955185,9_8:0.005832917344378796,9_8:476.4444444444444
10,193.4759106597946,46.82894302790807,4.726881653151388,-0.35078653313397784,0.007099999999999995,0.010000000000000009,0.0042,757.3333333333333,0.00018931726637576166,0.00018931726637576166,0.00018931726637576166,10_12:0.010035082781666593; 10_7:0.14563897074776785,10_12:704; 10_7:497.77777777777777
11,160.82174033521838,83.28176361803109,5.055170003693519,-0.342154207079285,0.006199999999999983,0.007199999999999984,0.0052,757.3333333333333,0.00023207190251669168,0.00023207190251669168,0.00023207190251669168,11_8:0.00882600078086862; 11_14:0.006615094088859186,11_8:405.3333333333333; 11_14:369.77777777777777
