Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,115.19235406598553,186.32808613468976,5.070540111867161,-0.3284517630488941,0.01639999999999997,0.0208,0.01200000000000001,3576.8888888888887,0.00019699887709862595,0.00019699887709862595,0.00019699887709862595,0_1:0.006909476816812199,0_1:419.55555555555554
1,190.44459080474866,139.5242482893397,4.929861586212892,-0.3312919769982015,0.04630000000000001,0.0494,0.043200000000000016,3576.8888888888887,0.0002173027613418288,0.0002173027613418288,0.0002173027613418288,1_2:0.010713741794773246; 1_4:0.005254166791549358; 1_0:0.006909476816812199,1_2:739.5555555555555; 1_4:348.4444444444444; 1_0:455.1111111111111
2,202.3185257470516,246.55995952057597,4.67025943772508,-0.3368767571359652,0.01849999999999996,0.0282,0.00880000000000003,3576.8888888888887,0.0002363577675665231,0.0002363577675665231,0.0002363577675665231,2_1:0.010713741794773246; 2_3:1,2_1:704; 2_3:469.3333333333333
3,121.02094775671341,166.33973177738707,4.889540465509784,-0.33117926395567876,0.4716,0.35819999999999996,0.585,3576.8888888888887,0.00018358120582975273,0.00018358120582975273,0.00018358120582975273,3_2:1; 3_5:1,3_2:433.77777777777777; 3_5:476.4444444444444
4,98.31102682231965,55.33057516662686,5.020956535493902,-0.33017451877168086,0.014800000000000035,0.022800000000000042,0.0068,3576.8888888888887,0.000260059528249585,0.000260059528249585,0.000260059528249585,4_7:0.008953264929728727; 4_1:0.005254166791549358,4_7:604.4444444444445; 4_1:312.88888888888886
5,94.43962321040108,177.01928947446316,4.96942396514868,-0.32975706216311906,0.08460000000000001,0.09340000000000004,0.0758,3576.8888888888887,0.00021266320872661345,0.00021266320872661345,0.00021266320872661345,5_8:0.0088270306838939; 5_3:1,5_8:604.4444444444445; 5_3:512
6,94.89715194668833,64.42400681365919,4.965899924998192,-0.3293056994880816,0.014399999999999968,0.02300000000000002,0.0058,3576.8888888888887,0.0004730645127877806,0.0004730645127877806,0.0004730645127877806,6_7:0.0072042126323658695,6_7:248.88888888888889
7,118.57093165536455,95.76211931406537,4.8943582057343935,-0.331001623745782,0.0131,0.01880000000000004,0.0074,3576.8888888888887,0.00014699966497083616,0.00014699966497083616,0.00014699966497083616,7_10:0.008173382056955364; 7_6:0.0072042126323658695; 7_4:0.008953264929728727,7_10:433.77777777777777; 7_6:284.44444444444446; 7_4:640
8,135.23134389476738,187.9045619602614,4.791656451453573,-0.33255913796236064,0.015700000000000047,0.01959999999999995,0.0118,3576.8888888888887,0.00015814650029994477,0.00015814650029994477,0.00015814650029994477,8_5:0.0088270306838939; 8_11:0.010352604058656567; 8_9:0.009421476765730574,8_5:640; 8_11:604.4444444444445; 8_9:604.4444444444445
9,120.16235144003481,123.4389443523362,4.955061203295168,-0.33063839344662715,0.017100000000000004,0.0262,0.008,3576.8888888888887,0.00031424878476121515,0.00031424878476121515,0.00031424878476121515,9_8:0.009421476765730574,9_8:640
10,134.19006893986685,167.1509707592084,4.958609066110356,-0.3309079058668604,0.020299999999999985,0.031399999999999983,0.0092,3576.8888888888887,0.00034180210529322877,0.00034180210529322877,0.00034180210529322877,10_12:0.010581862698256839; 10_7:0.008173382056955364,10_12:604.4444444444445; 10_7:398.2222222222222
