Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,336.0423247620586,74.67469556759232,4.8247953570779565,-0.34560176133931536,0.014399999999999968,0.015199999999999991,0.0136,1600,0.0001172983688556475,0.0001172983688556475,0.0001172983688556475,0_1:0.006575933961842306,0_1:512
1,337.4814839706047,127.89878186253706,4.672308318262424,-0.3498937071924116,0.009300000000000086,0.011600000000000055,0.007,1600,0.0003353693165885112,0.0003353693165885112,0.0003353693165885112,1_4:0.006399429544380331; 1_2:0.020269153420513747; 1_0:0.006575933961842306,1_4:533.3333333333333; 1_2:931.5555555555555; 1_0:476.4444444444444
2,328.9716052694017,155.59930019175812,4.579807775422653,-0.3504827222548502,0.012499999999999956,0.013000000000000012,0.012,1600,0.00021262318344782627,0.00021262318344782627,0.00021262318344782627,2_3:0.005664140567999104; 2_1:0.020269153420513747,2_3:746.6666666666666; 2_1:967.1111111111111
3,316.296590048314,171.66545261925177,4.6750696111865615,-0.3510304564194464,0.011900000000000022,0.012199999999999989,0.0116,1600,0.0002654723474392462,0.0002654723474392462,0.0002654723474392462,3_5:0.00452930173995475; 3_2:0.005664140567999104,3_5:398.2222222222222; 3_2:711.1111111111111
4,463.92529662830447,284.8828397394301,4.737063977342339,-0.34966477760677284,0.019600000000000062,0.022,0.017199999999999993,1600,0.00010769081118031397,0.00010769081118031397,0.00010769081118031397,4_1:0.006399429544380331; 4_7:1,4_1:497.77777777777777; 4_7:675.5555555555555
5,436.9860203071644,308.1431398048285,4.799119142956773,-0.34813097018759726,0.023800000000000043,0.027,0.02059999999999995,1600,0.00009145802491232927,0.00009145802491232927,0.00009145802491232927,5_3:0.00452930173995475; 5_8:0.005037510257155514,5_3:362.66666666666663; 5_8:561.7777777777777
6,313.0966003977846,125.57174653782394,4.878784627945641,-0.34490524863525346,0.022699999999999942,0.0186,0.026800000000000046,1600,0.00010317034406048636,0.00010317034406048636,0.00010317034406048636,6_7:1,6_7:817.7777777777777
7,52.80787566676921,107.14144100433309,4.617644530181188,-0.3516904865179105,0.18299999999999994,0.21819999999999995,0.1478,1600,0.15175153145030887,0.15175153145030887,0.15175153145030887,7_6:1; 7_10:1; 7_4:1,7_6:853.3333333333333; 7_10:832; 7_4:711.1111111111111
8,192.7195223821381,114.80288777806643,4.85292350819943,-0.34919945701588373,0.011900000000000022,0.01200000000000001,0.0118,1600,0.0001101335661134793,0.0001101335661134793,0.0001101335661134793,8_11:0.005467968304792625; 8_9:0.00819806546221849; 8_5:0.005037510257155514,8_11:725.3333333333333; 8_9:1066.6666666666665; 8_5:597.3333333333333
9,260.8922864655212,307.5471827101333,4.7589627983557925,-0.3449705948451825,0.036699999999999955,0.03739999999999999,0.036,1600,0.00011422323340032247,0.00011422323340032247,0.00011422323340032247,9_8:0.00819806546221849,9_8:1031.111111111111
