Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,191.74484829061737,108.82768430069572,4.962286067081757,-0.3446254135384113,0.026499999999999968,0.03500000000000003,0.018,5351.11111111111,0.0003283223694088515,0.0003283223694088515,0.0003283223694088515,0_1:0.005364558573024675,0_1:277.3333333333333
1,213.30268395983222,76.08150467824294,4.837871528724673,-0.34528384673896295,0.02629999999999999,0.03400000000000003,0.0186,5351.11111111111,0.00023247011002416407,0.00023247011002416407,0.00023247011002416407,1_2:0.010615611600992753; 1_0:0.005364558573024675,1_2:469.3333333333333; 1_0:312.88888888888886
2,94.69438347911482,24.06920984044016,5.037249051022417,-0.3425512844367907,0.03380000000000005,0.044399999999999995,0.0232,5351.11111111111,0.0002995340271268647,0.0002995340271268647,0.0002995340271268647,2_3:0.006011071650244781; 2_1:0.010615611600992753,2_3:355.55555555555554; 2_1:504.88888888888886
3,215.67994940696502,73.58089461846868,4.950952985145772,-0.34357839075695296,0.019400000000000084,0.0282,0.010600000000000054,5351.11111111111,0.0001595643780899036,0.0001595643780899036,0.0001595643780899036,3_4:0.005541428799945625; 3_2:0.006011071650244781,3_4:334.22222222222223; 3_2:391.1111111111111
4,104.59468937362584,42.61406293164487,5.065122974288174,-0.3421076389828771,0.020199999999999996,0.031,0.009399999999999964,5351.11111111111,0.0004747330240322657,0.0004747330240322657,0.0004747330240322657,4_3:0.005541428799945625,4_3:298.66666666666663
