Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,90.8177562502939,124.25755344506878,5.090220599540173,-0.33612300518216515,0.025900000000000034,0.04139999999999999,0.0104,6158.222222222222,0.0001591688858746255,0.0001591688858746255,0.0001591688858746255,0_1:0.01279777510733654,0_1:810.6666666666666
1,88.61484635043767,133.44347353651415,5.245524954209576,-0.316572131412737,0.024399999999999977,0.03280000000000005,0.016,6158.222222222222,0.00024311913795627946,0.00024311913795627946,0.00024311913795627946,1_3:0.01344828763580927; 1_2:0.007107535635258511; 1_0:0.01279777510733654,1_3:440.88888888888886; 1_2:419.55555555555554; 1_0:775.1111111111111
2,86.9750828508526,65.82545099864484,5.3614904344898955,-0.3306274884584928,0.022399999999999975,0.037799999999999945,0.007,6158.222222222222,0.0004140145985758997,0.0004140145985758997,0.0004140145985758997,2_1:0.007107535635258511,2_1:384
3,126.02990129139395,138.7114117482675,5.170319467166683,-0.33373922611368106,0.05479999999999996,0.0766,0.033,6158.222222222222,0.0002825276974782814,0.0002825276974782814,0.0002825276974782814,3_4:0.0107592100363047; 3_1:0.01344828763580927,3_4:526.2222222222222; 3_1:405.3333333333333
4,82.03732654706876,149.9589443726645,5.258463185890278,-0.3313451432371279,0.018399999999999972,0.02639999999999998,0.0104,6158.222222222222,0.0004875682649286228,0.0004875682649286228,0.0004875682649286228,4_3:0.0107592100363047,4_3:490.66666666666663
