Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,133.46463825290908,44.78020610216974,5.23651556317512,-0.339883615358574,0.03759999999999997,0.05259999999999998,0.0226,5518.222222222222,0.0003858201212298999,0.0003858201212298999,0.0003858201212298999,0_1:0.008196813039766715,0_1:234.66666666666666
1,154.52214531865965,27.118540032200322,5.014427420337677,-0.3432005583724651,0.014599999999999946,0.022800000000000042,0.0064,5518.222222222222,0.0002358389011156589,0.0002358389011156589,0.0002358389011156589,1_2:0.009674508068627075; 1_3:0.008631790286464047; 1_0:0.008196813039766715,1_2:284.44444444444446; 1_3:384; 1_0:270.22222222222223
2,171.17527139031375,22.58545936953843,5.10841464194722,-0.3416150041672664,0.02070000000000005,0.03280000000000005,0.0086,5518.222222222222,0.00021027249910199206,0.00021027249910199206,0.00021027249910199206,2_1:0.009674508068627075,2_1:248.88888888888889
3,114.17054904821649,30.14421198267108,5.178145127830504,-0.3411171247904715,0.02079999999999993,0.02859999999999996,0.013,5518.222222222222,0.0002860074777294842,0.0002860074777294842,0.0002860074777294842,3_5:0.006064493567383367; 3_1:0.008631790286464047,3_5:291.55555555555554; 3_1:419.55555555555554
4,112.51849331615206,61.13237636243557,5.213007693520495,-0.3392533874360392,0.04820000000000002,0.0404,0.05600000000000005,5518.222222222222,0.00026996782554191556,0.00026996782554191556,0.00026996782554191556,4_5:0.00927324718017411,4_5:540.4444444444445
5,137.30651665758018,46.98038956624311,5.063319717895309,-0.3412893561600795,0.07519999999999993,0.05679999999999996,0.0936,5518.222222222222,0.00021459797503443437,0.00021459797503443437,0.00021459797503443437,5_6:0.006260967008797164; 5_4:0.00927324718017411; 5_3:0.006064493567383367,5_6:312.88888888888886; 5_4:504.88888888888886; 5_3:327.1111111111111
6,66.27930775874725,15.597486446147476,5.3006540687246195,-0.3383638923290693,0.04500000000000004,0.07220000000000004,0.0178,5518.222222222222,0.00030305031961280223,0.00030305031961280223,0.00030305031961280223,6_5:0.006260967008797164,6_5:277.3333333333333
