Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
48,337.3917911440624,298.32252951472634,4.707240789428938,-0.31164980062742437,0.009700000000000042,0.009399999999999964,0.01,1244.4444444444443,0.00026780853340094724,0.00026780853340094724,0.00026780853340094724,undefined,undefined
49,171.9073553067824,153.20586076073144,4.810750623555819,-0.31113135217025384,0.0043999999999999595,0.005600000000000049,0.0032,1244.4444444444443,0.00017897182946776847,0.00017897182946776847,0.00017897182946776847,49_50:0.008043905171022048; 49_48:0.004631971059965684,49_50:533.3333333333333; 49_48:533.3333333333333
50,95.58209069317526,123.29377095704179,4.8788547828624536,-0.3096877134937021,0.013600000000000056,0.013800000000000034,0.0134,1244.4444444444443,0.00019067218380275445,0.00019067218380275445,0.00019067218380275445,50_51:0.005452555707051582,50_51:533.3333333333333
51,234.8860894978346,404.4183741626914,4.7673612520432105,-0.31093959212206534,0.008399999999999963,0.0096,0.007199999999999984,1244.4444444444443,0.00008673751224002295,0.00008673751224002295,0.00008673751224002295,undefined,undefined
52,321.46063152675487,78.58623887700564,4.854899050354767,-0.30959763676674124,0.011199999999999988,0.0088,0.013599999999999945,1244.4444444444443,0.0002068801716637383,0.0002068801716637383,0.0002068801716637383,52_37:0.008724744926533384,52_37:533.3333333333333
53,302.2998823401544,244.599516895157,4.767790245235947,-0.3105625096653012,0.011700000000000044,0.012800000000000034,0.0106,1244.4444444444443,0.00013530021251136816,0.00013530021251136816,0.00013530021251136816,53_60:0.00500443806055173,53_60:533.3333333333333
54,199.51333773976046,67.75564574575247,4.821591844900003,-0.310411116462148,0.00770000000000004,0.006800000000000028,0.0086,1244.4444444444443,0.0002488667827747372,0.0002488667827747372,0.0002488667827747372,54_45:0.008320439051441697,54_45:533.3333333333333
55,109.59145357736229,296.449464755159,4.907433331737963,-0.3099926060240599,0.024399999999999977,0.04259999999999997,0.0062,1244.4444444444443,0.002241213353993988,0.002241213353993988,0.002241213353993988,55_49:0.007886136552619188,55_49:533.3333333333333
56,209.6237402182258,17.367534152347673,4.455223538621387,-0.31803803916063483,0.02290000000000003,0.022,0.023800000000000043,1244.4444444444443,0.000856756793085122,0.000856756793085122,0.000856756793085122,56_57:0.02417868305720164; 56_52:0.0174639218501427,56_57:768; 56_52:881.7777777777777
57,318.42311257479446,84.41361746768436,4.834718577667051,-0.31001546755225406,0.019600000000000062,0.0154,0.023800000000000043,1244.4444444444443,0.000391251923563278,0.000391251923563278,0.000391251923563278,57_58:0.0067157671664087315,57_58:533.3333333333333
58,458.6007907619024,297.9448727991812,4.708838025273571,-0.31366733324274093,0.00880000000000003,0.0078,0.009800000000000031,1244.4444444444443,0.00011166897325884616,0.00011166897325884616,0.00011166897325884616,undefined,undefined
59,345.48959100253234,332.5144639778796,4.810894184715568,-0.3102363990787504,0.0047000000000000375,0.005800000000000027,0.0036,1244.4444444444443,0.0001407124549989013,0.0001407124549989013,0.0001407124549989013,59_60:0.005281416852754378; 59_58:0.006078256672349763,59_60:533.3333333333333; 59_58:533.3333333333333
60,206.70128628625307,159.80266210693804,4.672359242304579,-0.31324002018211905,0.005900000000000016,0.0074,0.0043999999999999595,1244.4444444444443,0.00015012880748019113,0.00015012880748019113,0.00015012880748019113,undefined,undefined
61,429.0080195472956,311.3378535071613,4.901564768183074,-0.30995863458067757,0.007600000000000051,0.008600000000000052,0.0066,1244.4444444444443,0.00026343417073120993,0.00026343417073120993,0.00026343417073120993,61_60:0.009904390096863447; 61_62:0.005308661807353926,61_60:533.3333333333333; 61_62:533.3333333333333
62,305.064876531386,306.62161260976376,4.771231661560103,-0.3109932039506031,0.02180000000000004,0.021399999999999975,0.0222,1244.4444444444443,0.00013730228577264294,0.00013730228577264294,0.00013730228577264294,undefined,undefined
63,299.2555018889248,245.02206482959247,4.994847345072976,-0.308453762666027,0.006199999999999983,0.005,0.007399999999999962,1244.4444444444443,0.00013613735541854688,0.00013613735541854688,0.00013613735541854688,63_64:0.0067289322566025656; 63_62:0.004555089020910841,63_64:533.3333333333333; 63_62:533.3333333333333
64,185.38166903542563,167.83056939336987,4.878926245808149,-0.31051183745857736,0.0046999999999999265,0.006,0.0033999999999999586,1244.4444444444443,0.0002109038864475016,0.0002109038864475016,0.0002109038864475016,64_54:0.007821463717499866; 64_65:0.006403966481515033,64_54:533.3333333333333; 64_65:533.3333333333333
65,517.8078242804183,239.14257004250445,4.758088336970175,-0.31051573933044047,0.01970000000000005,0.024399999999999977,0.015,1244.4444444444443,0.00013149376100125834,0.00013149376100125834,0.00013149376100125834,undefined,undefined
66,300.30844413763174,242.85962347507063,4.80960665443908,-0.3109248312518322,0.008499999999999952,0.010399999999999965,0.0066,1244.4444444444443,0.00011212948468415846,0.00011212948468415846,0.00011212948468415846,66_65:0.0036060136156899625,66_65:533.3333333333333
67,153.44878172919493,230.78095889489086,4.892982287509938,-0.31039200176040205,0.0035000000000000586,0.0036,0.0033999999999999586,1244.4444444444443,0.0002373587168034184,0.0002373587168034184,0.0002373587168034184,67_66:0.005976265814442244,67_66:533.3333333333333
68,355.2788583490366,109.22536740577243,4.741288951631194,-0.31180260683390987,0.007500000000000062,0.009,0.006000000000000005,1244.4444444444443,0.0001387986271409418,0.0001387986271409418,0.0001387986271409418,68_55:0.011369352801357313; 68_67:0.006773499716958786,68_55:775.1111111111111; 68_67:533.3333333333333
69,34.181470291270756,15.0361620056998,4.837458012246776,-0.30965408980565917,0.05360000000000009,0.07920000000000005,0.028,1244.4444444444443,0.002039780937025453,0.002039780937025453,0.002039780937025453,69_70:0.01841751827942817; 69_68:0.015750716805957687,69_70:533.3333333333333; 69_68:533.3333333333333
70,152.61333024507718,250.8740563770318,4.708567618057692,-0.31145025923177105,0.00770000000000004,0.008399999999999963,0.007,1244.4444444444443,0.00012171272558142261,0.00012171272558142261,0.00012171272558142261,undefined,undefined
71,390.0956638477035,138.716963434601,4.846386492236266,-0.3101101834347441,0.046599999999999975,0.05779999999999996,0.0354,1244.4444444444443,0.00018820835460595713,0.00018820835460595713,0.00018820835460595713,71_77:0.006868660495028461; 71_58:0.004705301143862445,71_77:533.3333333333333; 71_58:533.3333333333333
72,280.6789662434031,271.0346591431079,4.8745433719942985,-0.30919743263741656,0.04190000000000005,0.04259999999999997,0.0412,1244.4444444444443,0.00022213870966608434,0.00022213870966608434,0.00022213870966608434,72_62:0.005618296982276727,72_62:533.3333333333333
73,263.0591125677708,168.9935250914461,4.874800029000461,-0.3102390852422053,0.005800000000000027,0.007800000000000029,0.0038,1244.4444444444443,0.00019357653712123873,0.00019357653712123873,0.00019357653712123873,73_85:0.004103010846783384; 73_66:0.006996786466759414,73_85:533.3333333333333; 73_66:533.3333333333333
74,285.79603975233,335.29753935484155,4.814356861893852,-0.31129790243600725,0.0026999999999999247,0.0031999999999999806,0.0022,1244.4444444444443,0.0001594389115837849,0.0001594389115837849,0.0001594389115837849,74_70:0.004114460128166492,74_70:533.3333333333333
75,342.0787732463213,158.10931331913022,4.768979718617572,-0.31042690020941655,0.04620000000000002,0.0558,0.036599999999999966,1244.4444444444443,0.00034260525694325807,0.00034260525694325807,0.00034260525694325807,75_76:0.006755906214862301,75_76:533.3333333333333
76,300.96513322933833,24.244081457963695,4.70214332578567,-0.31291705661427394,0.020499999999999963,0.026800000000000046,0.0142,1244.4444444444443,0.00015644763056287542,0.00015644763056287542,0.00015644763056287542,undefined,undefined
77,207.55008152861024,242.3465264415062,4.806559846190952,-0.3107912307043456,0.007000000000000006,0.008000000000000007,0.006,1244.4444444444443,0.00019637110434914218,0.00019637110434914218,0.00019637110434914218,77_76:0.005995677281119549,77_76:533.3333333333333
78,182.5132424206958,335.67179270672796,4.861043893935504,-0.30955241234604897,0.021700000000000053,0.0236,0.01980000000000004,1244.4444444444443,0.0002551536150877894,0.0002551536150877894,0.0002551536150877894,78_77:0.007863740646142203; 78_79:0.00850272016783657,78_77:533.3333333333333; 78_79:533.3333333333333
79,288.90920214229635,24.808422945084544,4.786058762260724,-0.31151163662354525,0.006599999999999939,0.008399999999999963,0.0048,1244.4444444444443,0.00023125226594970517,0.00023125226594970517,0.00023125226594970517,79_91:0.010442465489959474,79_91:533.3333333333333
80,156.5057849507591,173.5877528825482,5.042761778907994,-0.3079238440194016,0.014699999999999935,0.0174,0.01200000000000001,1244.4444444444443,0.0006455403758204045,0.0006455403758204045,0.0006455403758204045,80_79:0.02141671575998766; 80_81:0.01926648064028394,80_79:533.3333333333333; 80_81:533.3333333333333
81,219.08658184207616,180.86055990694075,4.961381824589076,-0.30881300331410194,0.0032999999999999696,0.0031999999999999806,0.0034,1244.4444444444443,0.0001420960986161839,0.0001420960986161839,0.0001420960986161839,81_82:0.01772503199179712; 81_72:0.005753017893625284,81_82:533.3333333333333; 81_72:533.3333333333333
82,238.23824625446133,140.6347389807801,4.815066813496991,-0.31103172317325406,0.008899999999999908,0.013399999999999967,0.0044,1244.4444444444443,0.0003773388998296966,0.0003773388998296966,0.0003773388998296966,82_83:0.007053262089580736,82_83:533.3333333333333
83,428.44504912883065,49.42615170659449,4.721504821368586,-0.2975486698247847,0.06659999999999999,0.05940000000000001,0.0738,1244.4444444444443,0.00015456677265873498,0.00015456677265873498,0.00015456677265873498,undefined,undefined
84,307.7930507444367,226.08304863885365,4.666006824018552,-0.3133527023161981,0.006399999999999961,0.006399999999999961,0.0064,1244.4444444444443,0.0001567182961131097,0.0001567182961131097,0.0001567182961131097,84_83:0.0068621183525697516,84_83:448
85,383.98906709944004,137.9400796156602,4.7452971538152635,-0.3119683812702387,0.01849999999999996,0.018399999999999972,0.0186,1244.4444444444443,0.00015689305060003476,0.00015689305060003476,0.00015689305060003476,85_84:0.004397682524386298,85_84:533.3333333333333
86,198.0099996007879,183.94495607052292,4.889906290612485,-0.30913746648321616,0.008499999999999952,0.00660000000000005,0.0104,1244.4444444444443,0.00023572576625034805,0.00023572576625034805,0.00023572576625034805,86_85:0.010930638435476953; 86_87:0.004757842041299171,86_85:533.3333333333333; 86_87:533.3333333333333
87,333.7322830521417,339.6865666846935,4.824360911108211,-0.3099624961358293,0.007900000000000018,0.008000000000000007,0.0078,1244.4444444444443,0.000175589104592234,0.000175589104592234,0.000175589104592234,87_88:0.005314875807430758,87_88:533.3333333333333
88,332.8256036478706,126.91755692848618,4.689547026445298,-0.3191806929563948,0.00550000000000006,0.007399999999999962,0.0036,1244.4444444444443,0.00018187344377287181,0.00018187344377287181,0.00018187344377287181,undefined,undefined
89,354.3892626687633,129.57678345188603,4.947934185231658,-0.30883270351675324,0.008099999999999996,0.0092,0.007000000000000006,1244.4444444444443,0.00016918514754153284,0.00016918514754153284,0.00016918514754153284,89_74:0.004782027316431181; 89_88:0.011944256505498768,89_74:533.3333333333333; 89_88:533.3333333333333
90,258.8126531167689,177.53715208544418,4.803037115716422,-0.3102348928876509,0.014100000000000001,0.021199999999999997,0.007,1244.4444444444443,0.0004290353208891473,0.0004290353208891473,0.0004290353208891473,90_94:0.00554828480757244; 90_75:0.015569061382198185,90_94:533.3333333333333; 90_75:533.3333333333333
91,223.4047485151324,337.8319156888578,4.893170607733836,-0.30983443429771806,0.006299999999999972,0.006399999999999961,0.0062,1244.4444444444443,0.0001394213815058281,0.0001394213815058281,0.0001394213815058281,undefined,undefined
92,374.04565414617014,249.66920666045547,4.8276938776263165,-0.3103693565337272,0.011400000000000077,0.01319999999999999,0.0096,1244.4444444444443,0.00020184232333279008,0.00020184232333279008,0.00020184232333279008,92_102:0.010285633942328343; 92_83:0.005979139471243122,92_102:533.3333333333333; 92_83:533.3333333333333
93,184.5493303518652,32.88899789750111,4.910478556169691,-0.30921828977226556,0.016100000000000003,0.01759999999999995,0.0146,1244.4444444444443,0.00019705208660929848,0.00019705208660929848,0.00019705208660929848,93_87:0.005451055231948249; 93_106:0.009681042495863046,93_87:533.3333333333333; 93_106:533.3333333333333
94,316.38839021884064,341.58811642156036,4.719670349009982,-0.3121150063159316,0.0049000000000000155,0.0062,0.0036000000000000476,1244.4444444444443,0.00011901986388479692,0.00011901986388479692,0.00011901986388479692,undefined,undefined
95,435.62359623533223,161.96599030810629,4.8022929514249295,-0.3113439855731095,0.010000000000000009,0.0118,0.008199999999999985,1244.4444444444443,0.0005311153969688432,0.0005311153969688432,0.0005311153969688432,95_94:0.005196786817143723; 95_96:0.0073654662596975284,95_94:533.3333333333333; 95_96:533.3333333333333
96,337.0854214743716,195.95519771907755,4.852742349692652,-0.3071950533738793,0.00990000000000002,0.009,0.010800000000000032,1244.4444444444443,0.00014373889463217918,0.00014373889463217918,0.00014373889463217918,undefined,undefined
97,259.61712121776793,75.8251667030528,4.949960235427162,-0.3087084614989645,0.010399999999999965,0.011399999999999966,0.0094,1244.4444444444443,0.0003333697729171004,0.0003333697729171004,0.0003333697729171004,97_98:0.008954168847260024; 97_96:0.008646520021547921,97_98:533.3333333333333; 97_96:533.3333333333333
98,119.76877672218103,328.8261433220934,4.77466748125909,-0.31129479497146767,0.010699999999999932,0.012199999999999989,0.0092,1244.4444444444443,0.00036986200452956264,0.00036986200452956264,0.00036986200452956264,98_91:0.007764080442319549,98_91:533.3333333333333
99,321.47323721819964,220.8460361944565,4.832438551679209,-0.3102128571403012,0.011199999999999988,0.010000000000000009,0.0124,1244.4444444444443,0.0002072368315385529,0.0002072368315385529,0.0002072368315385529,99_100:0.00631167855979653; 99_98:0.009538297154424169,99_100:533.3333333333333; 99_98:533.3333333333333
100,413.1442261866419,166.27682713960107,4.648614616179557,-0.31432473968171126,0.009299999999999975,0.011199999999999988,0.0074,1244.4444444444443,0.00010065451339005626,0.00010065451339005626,0.00010065451339005626,undefined,undefined
101,324.0830012104909,70.24442752620038,4.844120831909042,-0.31062354929050423,0.0036000000000000476,0.0046000000000000485,0.0026,1244.4444444444443,0.00022092445107055927,0.00022092445107055927,0.00022092445107055927,101_102:0.00946795693804689; 101_100:0.006171370394191661,101_102:533.3333333333333; 101_100:533.3333333333333
102,221.37335018467243,214.6322500127519,4.786733852646282,-0.31093198650261733,0.017299999999999982,0.0202,0.014399999999999968,1244.4444444444443,0.0003169023006324672,0.0003169023006324672,0.0003169023006324672,102_103:0.010835756369200727,102_103:533.3333333333333
103,221.54095648130956,249.8449262870463,4.694703696359586,-0.31225904514446806,0.00880000000000003,0.011800000000000033,0.0058,1244.4444444444443,0.00023651015376201766,0.00023651015376201766,0.00023651015376201766,undefined,undefined
104,176.67148222390568,59.99748432167285,4.783867841575263,-0.3122310065044028,0.007600000000000051,0.014,0.0011999999999999789,1244.4444444444443,0.000715027832963406,0.000715027832963406,0.000715027832963406,104_103:0.007695178105939948,104_103:533.3333333333333
105,315.9645127605898,52.167247719057364,4.883429544688412,-0.30991690927064675,0.009300000000000086,0.01200000000000001,0.0066,1244.4444444444443,0.00013882884463927868,0.00013882884463927868,0.00013882884463927868,105_104:0.006862748288246651,105_104:533.3333333333333
106,151.61786581967186,241.8493638435648,4.774767641289865,-0.31270542930455303,0.008499999999999952,0.0118,0.005199999999999982,1244.4444444444443,0.0004869568130474649,0.0004869568130474649,0.0004869568130474649,106_105:0.007808740964648453,106_105:533.3333333333333
