Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,ECR error ,Gate time (ns)
0,170.96613245332574,197.4559253654401,4.635657799743309,-0.3132760394092362,0.0042999999999999705,0.0064,0.0021999999999999797,1244.4444444444443,0.00017337471949125679,0.00017337471949125679,0.00017337471949125679,undefined,undefined
1,323.7762860206275,292.3643786435084,4.7362886935935755,-0.3129180725120383,0.014000000000000012,0.012800000000000034,0.0152,1244.4444444444443,0.00020022442712941882,0.00020022442712941882,0.00020022442712941882,1_2:0.005076572818411729; 1_0:0.006472387157377746,1_2:533.3333333333333; 1_0:533.3333333333333
2,171.02515968046376,170.917244484575,4.819196339656617,-0.3112951524093254,0.0262,0.0262,0.0262,1244.4444444444443,0.00029522266903396965,0.00029522266903396965,0.00029522266903396965,undefined,undefined
3,390.4265884129218,187.37978228435088,4.747182073355995,-0.3111534699659636,0.011399999999999966,0.010199999999999987,0.0126,1244.4444444444443,0.00018782829152175104,0.00018782829152175104,0.00018782829152175104,3_2:0.005328222644894021,3_2:533.3333333333333
4,410.7642314475321,231.91912387157186,4.7878532902853905,-0.31094540176555985,0.017800000000000038,0.01639999999999997,0.0192,1244.4444444444443,0.00015700275370899517,0.00015700275370899517,0.00015700275370899517,4_3:0.005102864920835559; 4_15:0.007388645806974181,4_3:533.3333333333333; 4_15:533.3333333333333
5,228.437219902016,143.0984008133595,4.850844681922075,-0.31056606217183785,0.04190000000000005,0.019000000000000017,0.0648,1244.4444444444443,0.00019140594486192605,0.00019140594486192605,0.00019140594486192605,5_4:0.006948076008180093,5_4:533.3333333333333
6,341.02908076274963,79.31104401761644,4.89951116833515,-0.3090557835234433,0.09709999999999996,0.09740000000000004,0.0968,1244.4444444444443,0.00016623667650728923,0.00016623667650728923,0.00016623667650728923,6_5:0.008126362697429196,6_5:533.3333333333333
7,114.09880173378835,52.4801379918405,4.755882222876861,-0.31100390518358323,0.017800000000000038,0.027800000000000047,0.0078,1244.4444444444443,0.0013410221882417493,0.0013410221882417493,0.0013410221882417493,7_6:0.006884903524742719,7_6:533.3333333333333
8,368.4017655741447,43.04943944452782,4.812571817497606,-0.31334511346081884,0.013399999999999967,0.015599999999999947,0.0112,1244.4444444444443,0.00042869014521483014,0.00042869014521483014,0.00042869014521483014,8_9:0.008457552002461233; 8_7:0.017214373896526025,8_9:533.3333333333333; 8_7:533.3333333333333
9,413.9425434474714,72.52284459159401,4.637893754229736,-0.29264088813258476,0.035599999999999965,0.03639999999999999,0.0348,1244.4444444444443,0.002190023611791478,0.002190023611791478,0.002190023611791478,undefined,undefined
10,261.16158372776755,197.240296356341,4.804414020716146,-0.31122742580861,0.011199999999999988,0.01319999999999999,0.0092,1244.4444444444443,0.00019052087887219934,0.00019052087887219934,0.00019052087887219934,10_11:0.005724511824286377; 10_9:0.005456378946036483,10_11:533.3333333333333; 10_9:533.3333333333333
11,457.3854159620339,88.26373925735875,4.743311905000464,-0.31179417408967897,0.007500000000000062,0.0068,0.008199999999999985,1244.4444444444443,0.00012978713411920925,0.00012978713411920925,0.00012978713411920925,11_12:0.006295616316101371,11_12:533.3333333333333
12,444.41681598913317,313.9229932875878,4.625875350069266,-0.31372359565205904,0.023299999999999987,0.018399999999999972,0.0282,1244.4444444444443,0.00030400791294873247,0.00030400791294873247,0.00030400791294873247,12_13:0.011201636145120819,12_13:533.3333333333333
13,58.756956615124366,265.09537696044214,4.5569662309296906,-0.31377871528415735,0.040000000000000036,0.03380000000000005,0.0462,1244.4444444444443,0.00013786522234787845,0.00013786522234787845,0.00013786522234787845,undefined,undefined
14,258.26189419226944,52.949987707410166,4.509062030769763,-0.3157712274724498,0.013800000000000034,0.022800000000000042,0.0048,1244.4444444444443,0.0002890868905527922,0.0002890868905527922,0.0002890868905527922,14_0:0.008586134734094059; 14_18:0.008065955588189067,14_0:533.3333333333333; 14_18:533.3333333333333
15,443.7031232347358,308.54609006460106,4.59904038890739,-0.32044986829453664,0.05699999999999994,0.03920000000000001,0.0748,1244.4444444444443,0.00018946739093066096,0.00018946739093066096,0.00018946739093066096,undefined,undefined
16,244.0238297308103,27.39362612866257,4.937458862793726,-0.3088315131283205,0.0838000000000001,0.0894,0.07820000000000005,1244.4444444444443,0.0016225695852831996,0.0016225695852831996,0.0016225695852831996,16_8:0.019499269770911126,16_8:533.3333333333333
17,439.5069410463291,227.10010839508354,4.752755078315456,-0.31153154230934604,0.007199999999999984,0.01100000000000001,0.0034,1244.4444444444443,0.00020052532616719726,0.00020052532616719726,0.00020052532616719726,17_12:0.005483842596772287; 17_30:0.006549252388329124,17_12:533.3333333333333; 17_30:533.3333333333333
18,354.32864372176306,65.87983702711496,4.6592678141735835,-0.2892599847835004,0.025900000000000034,0.0268,0.025000000000000022,1244.4444444444443,0.0003027762617711402,0.0003027762617711402,0.0003027762617711402,18_19:0.021230130689907867,18_19:533.3333333333333
19,200.90057221181146,45.99759122456345,4.820827742254949,-0.31198328628677313,0.2506999999999999,0.3842,0.1172,1244.4444444444443,0.0014162846407899602,0.0014162846407899602,0.0014162846407899602,19_20:0.03521184058855881,19_20:533.3333333333333
20,424.16572171985945,60.60058895273913,4.738347155537466,-0.3119696404967832,0.03149999999999997,0.025399999999999978,0.0376,1244.4444444444443,0.0003609154846289471,0.0003609154846289471,0.0003609154846289471,20_33:0.009038711506085317,20_33:533.3333333333333
21,239.07641273032223,22.6886080095222,4.773871113779188,-0.3114254225761893,0.030000000000000027,0.03259999999999996,0.0274,1244.4444444444443,0.0003150129023230215,0.0003150129023230215,0.0003150129023230215,21_20:0.008411943113382087; 21_22:0.00877128693645085,21_20:533.3333333333333; 21_22:533.3333333333333
22,384.1364477564885,222.9690909764013,4.668484849193067,-0.31331663183442576,0.006799999999999917,0.0082,0.00539999999999996,1244.4444444444443,0.00018723859804657328,0.00018723859804657328,0.00018723859804657328,22_15:0.00845695397425042,22_15:533.3333333333333
23,289.0213683533733,53.957484838393555,4.758092775309818,-0.31173856129806604,0.03810000000000002,0.03839999999999999,0.0378,1244.4444444444443,0.0004902899867137669,0.0004902899867137669,0.0004902899867137669,23_24:0.011652543869610898; 23_22:0.013019919490492055,23_24:533.3333333333333; 23_22:533.3333333333333
24,341.52810451929844,18.86600656151993,4.6114287465623995,-0.31354982608399573,0.03939999999999999,0.028200000000000003,0.0506,1244.4444444444443,0.0002875021395484932,0.0002875021395484932,0.0002875021395484932,undefined,undefined
25,291.093348211993,313.99008675389325,4.7316442596733,-0.3122550841543125,0.0242,0.026800000000000046,0.0216,1244.4444444444443,0.00016758935300660105,0.00016758935300660105,0.00016758935300660105,25_24:0.00726845700903328,25_24:533.3333333333333
26,280.42593344662686,138.78194341736878,4.777234358086821,-0.31228117808626144,0.0048000000000000265,0.005600000000000049,0.004,1244.4444444444443,0.00017692606936626115,0.00017692606936626115,0.00017692606936626115,26_16:0.017923535076833003; 26_25:0.004774705498953868; 26_27:0.004312368670021577,26_16:533.3333333333333; 26_25:533.3333333333333; 26_27:533.3333333333333
27,347.01070165205203,150.2699454496845,4.680343296178921,-0.31282791406798793,0.006199999999999983,0.006399999999999961,0.006,1244.4444444444443,0.00015103028212623863,0.00015103028212623863,0.00015103028212623863,undefined,undefined
28,161.930222996373,83.11848633743408,4.7663046393990625,-0.27186381179166696,0.13666666666666671,0.13666666666666671,0.13666666666666666,1244.4444444444443,0.000314427617276114,0.000314427617276114,0.000314427617276114,28_27:1,28_27:533.3333333333333
29,341.68462153917596,171.55905445318282,4.791620786833125,-0.32426284330226407,0.008599999999999941,0.0108,0.006399999999999961,1244.4444444444443,0.0004057346716672604,0.0004057346716672604,0.0004057346716672604,29_30:0.0060490231352546275; 29_28:1,29_30:533.3333333333333; 29_28:533.3333333333333
30,345.95886514163794,191.53444786289,4.692826498159435,-0.3126801438234927,0.007300000000000084,0.00880000000000003,0.0058,1244.4444444444443,0.00025341921450288573,0.00025341921450288573,0.00025341921450288573,undefined,undefined
31,337.25483704704266,33.73034375640466,5.057545899604591,-0.3070059221402992,0.015100000000000002,0.017800000000000038,0.0124,1244.4444444444443,0.00016492647125764882,0.00016492647125764882,0.00016492647125764882,31_30:0.00999934157575258; 31_32:0.005921868859070256,31_30:533.3333333333333; 31_32:533.3333333333333
32,218.95025722507134,231.7470208266656,4.929962476891414,-0.30828223495463736,0.02839999999999998,0.02939999999999998,0.0274,1244.4444444444443,0.00020521865094579533,0.00020521865094579533,0.00020521865094579533,32_36:0.004862394628138311,32_36:533.3333333333333
33,470.8872558306516,380.83588512751754,4.677321943212839,-0.3137282279838826,0.007399999999999962,0.010399999999999965,0.0044,1244.4444444444443,0.00032131183004410253,0.00032131183004410253,0.00032131183004410253,33_39:0.014205063171322335,33_39:533.3333333333333
34,265.4960737121023,92.00003795249958,4.710431329565906,-0.28769666514137593,0.047800000000000065,0.033399999999999985,0.0622,1244.4444444444443,0.00044401660837519244,0.00044401660837519244,0.00044401660837519244,34_24:0.008298948297091713,34_24:533.3333333333333
35,205.46311894768968,59.50024076054759,4.914548708597885,-0.30919638014483275,0.008499999999999952,0.008600000000000052,0.0084,1244.4444444444443,0.0002165767583727514,0.0002165767583727514,0.0002165767583727514,35_47:0.01043046018609528; 35_28:1,35_47:533.3333333333333; 35_28:533.3333333333333
36,233.21386389841607,65.85115459500454,4.854088629956082,-0.31028310857915326,0.006900000000000017,0.0082,0.005600000000000049,1244.4444444444443,0.00014090645033150136,0.00014090645033150136,0.00014090645033150136,36_51:0.0038528013644490433,36_51:533.3333333333333
37,418.7865477980449,252.84554397467303,4.593870413121753,-0.315389846608389,0.00990000000000002,0.0124,0.007399999999999962,1244.4444444444443,0.0001800208443433493,0.0001800208443433493,0.0001800208443433493,37_38:0.012349950435041002,37_38:533.3333333333333
38,419.858922880706,155.72060000755093,4.485876868196535,-0.31593779214327095,0.01100000000000001,0.01100000000000001,0.011,1244.4444444444443,0.0001604778635643647,0.0001604778635643647,0.0001604778635643647,38_39:0.0057115629117863165,38_39:533.3333333333333
39,419.7155882192769,224.39059687337613,4.574233232434825,-0.3140308325815774,0.004899999999999904,0.006399999999999961,0.0034,1244.4444444444443,0.00016610697596736396,0.00016610697596736396,0.00016610697596736396,undefined,undefined
40,408.7534835680011,192.52938966763267,4.705502412967172,-0.31264268217270236,0.008299999999999974,0.0106,0.006000000000000005,1244.4444444444443,0.0003155474476661692,0.0003155474476661692,0.0003155474476661692,40_39:0.005378626477788889,40_39:533.3333333333333
41,155.2611717532452,200.30708266268908,4.814555014938409,-0.3126369186509598,0.005099999999999993,0.006399999999999961,0.0038,1244.4444444444443,0.00017193800125647163,0.00017193800125647163,0.00017193800125647163,41_40:0.00890595488233853; 41_53:0.005520734797809124,41_40:533.3333333333333; 41_53:533.3333333333333
42,430.6437802508874,224.23122072051046,4.654677420020787,-0.3142873185900896,0.030100000000000016,0.03320000000000001,0.027,1244.4444444444443,0.0000962464646222891,0.0000962464646222891,0.0000962464646222891,42_41:0.006544594160980272,42_41:533.3333333333333
43,402.723849020306,210.30268657234632,4.755121836395159,-0.31327741535760273,0.00649999999999995,0.008199999999999985,0.0048,1244.4444444444443,0.00026469526398124475,0.00026469526398124475,0.00026469526398124475,43_34:0.01239440229258415; 43_44:0.007238807113376766; 43_42:0.008465571383254822,43_34:533.3333333333333; 43_44:533.3333333333333; 43_42:533.3333333333333
44,265.75884533498464,75.74059188588285,4.868108760339466,-0.3104963912007421,0.005299999999999971,0.006399999999999961,0.0042,1244.4444444444443,0.00019593409527584568,0.00019593409527584568,0.00019593409527584568,undefined,undefined
45,456.39644083740177,320.74974053628273,4.7627466348785115,-0.3110511707571012,0.006199999999999983,0.0048000000000000265,0.0076,1244.4444444444443,0.00017076133638750684,0.00017076133638750684,0.00017076133638750684,45_44:0.0068628121298560385; 45_46:0.006062949577624405,45_44:533.3333333333333; 45_46:533.3333333333333
46,480.9057424310154,439.99141160304794,4.674067097406405,-0.31335055063587447,0.012699999999999934,0.0074,0.018000000000000016,1244.4444444444443,0.00014692206448668077,0.00014692206448668077,0.00014692206448668077,undefined,undefined
47,258.6356399554989,106.53289172053117,4.795054266469934,-0.31225140541662605,0.01200000000000001,0.013599999999999945,0.0104,1244.4444444444443,0.00009429182319155664,0.00009429182319155664,0.00009429182319155664,47_48:0.006103964047097843; 47_46:0.009763092377340993,47_48:533.3333333333333; 47_46:533.3333333333333
