Qubit,T1 (us),T2 (us),Frequency (GHz),Anharmonicity (GHz),Readout assignment error ,Prob meas0 prep1 ,Prob meas1 prep0 ,Readout length (ns),ID error ,√x (sx) error ,Pauli-X error ,CNOT error ,Gate time (ns)
0,95.63930804061933,78.91399752149002,4.926714392781247,-0.3443958771022938,0.009600000000000053,0.0102,0.009000000000000008,910.2222222222222,0.00022585234138336617,0.00022585234138336617,0.00022585234138336617,0_1:0.008162359062909047,0_1:341.3333333333333
1,98.37593011728244,32.09862024843277,5.046822424393115,-0.34286204354380795,0.019300000000000095,0.0198,0.01880000000000004,910.2222222222222,0.00023648555561123008,0.00023648555561123008,0.00023648555561123008,1_2:0.00756958312602618; 1_3:0.009604205421185369; 1_0:0.008162359062909047,1_2:248.88888888888889; 1_3:376.88888888888886; 1_0:412.4444444444444
2,143.42841571021572,30.133002455339675,4.961956400702302,-0.34389013656021855,0.012599999999999945,0.0142,0.01100000000000001,910.2222222222222,0.0002835990680923505,0.0002835990680923505,0.0002835990680923505,2_1:0.00756958312602618,2_1:213.33333333333331
3,91.64893639893447,103.07478144597594,5.108835812215491,-0.3411938256028111,0.015199999999999991,0.017,0.013399999999999967,910.2222222222222,0.0004166833397893555,0.0004166833397893555,0.0004166833397893555,3_1:0.009604205421185369; 3_5:0.003961691272972079,3_1:412.4444444444444; 3_5:238.2222222222222
4,136.9118195881814,132.95569720989033,5.011350614653472,-0.3429005145382,0.0797,0.0764,0.08299999999999996,910.2222222222222,0.000190027698661697,0.000190027698661697,0.000190027698661697,4_5:0.01261961796069197,4_5:305.77777777777777
5,112.83578666915388,150.30583692982756,5.17375628242127,-0.34294086851881034,0.011900000000000022,0.014000000000000012,0.0098,910.2222222222222,0.00021140035298263885,0.00021140035298263885,0.00021140035298263885,5_4:0.01261961796069197; 5_3:0.003961691272972079; 5_6:0.007762263694666871,5_4:341.3333333333333; 5_3:167.11111111111111; 5_6:405.3333333333333
6,39.258902834292044,88.73309566639045,5.32234347689649,-0.3376264885207946,0.12759999999999994,0.1228,0.13239999999999996,910.2222222222222,0.0002552481319991903,0.0002552481319991903,0.0002552481319991903,6_5:0.007762263694666871,6_5:334.22222222222223
